DeFazio,Peter,1947-05-27,M,OR,4,Democrat,https://defazio.house.gov,RepPeterDeFazio,RepPeterDeFazio,UCIF3HunhsVgTv7L2grnq2Rg
DeGette,Diana,1957-07-29,F,CO,1,Democrat,https://degette.house.gov,RepDianaDeGette,DianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew
DeLauro,Rosa,1943-03-02,F,CT,3,Democrat,https://delauro.house.gov,RosaDeLauro,CongresswomanRosaDeLauro,UC9ROfGBm7kSLCEDYwFF6McQ
DesJarlais,Scott,1964-02-21,M,TN,4,Republican,https://desjarlais.house.gov,DesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA
Deutch,Theodore,1966-05-07,M,FL,22,Democrat,https://teddeutch.house.gov,RepTedDeutch,CongressmanTedDeutch,UC1JlTLRUDkzhM2htvI9QJTA
Diaz-Balart,Mario,1961-09-25,M,FL,25,Republican,https://mariodiazbalart.house.gov,MarioDB,mdiazbalart,UCpEEd0Plxx5D78pI4a4mFTQ
Doggett,Lloyd,1946-10-06,M,TX,35,Democrat,https://doggett.house.gov,RepLloydDoggett,lloyddoggett,UCN-kiLKyHPcfRVZ28sAHS_g
Doyle,Michael,1953-08-05,M,PA,18,Democrat,https://doyle.house.gov,USRepMikeDoyle,usrepmikedoyle,UCni9vINmgerEeVXhKCC9qbA
Duncan,Jeff,1966-01-07,M,SC,3,Republican,https://jeffduncan.house.gov,RepJeffDuncan,RepJeffDuncan,UC1tuXL6ymImdpKYGEAH83QA
Engel,Eliot,1947-02-18,M,NY,16,Democrat,https://engel.house.gov,RepEliotEngel,RepEliotLEngel,UCZ-ctBF-a6CYPJWDoBV_JyA
Eshoo,Anna,1942-12-13,F,CA,18,Democrat,https://eshoo.house.gov,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ
Fleischmann,Charles,1962-10-11,M,TN,3,Republican,https://fleischmann.house.gov,RepChuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw
Flores,Bill,1954-02-25,M,TX,17,Republican,https://flores.house.gov,RepBillFlores,RepBillFlores,UCA7MgQ_ccBlCqoxV56B6nmA
Fortenberry,Jeff,1960-12-27,M,NE,1,Republican,https://fortenberry.house.gov,JeffFortenberry,jefffortenberry,UCbWUvw3gQhbFyJzt1Nh6cAA
Foxx,Virginia,1943-06-29,F,NC,5,Republican,https://foxx.house.gov,VirginiaFoxx,RepVirginiaFoxx,UCggineJcxJn80TRXxdQbx6w
Fudge,Marcia,1952-10-29,F,OH,11,Democrat,https://fudge.house.gov,RepMarciaFudge,RepMarciaLFudge,UClmYIIhIcL-WwtBAy1Dhokg
Garamendi,John,1945-01-24,M,CA,3,Democrat,https://garamendi.house.gov,RepGaramendi,repgaramendi,UCRym1qsO72C39gX6pBu4icg
Gibbs,Bob,1954-06-14,M,OH,7,Republican,https://gibbs.house.gov,RepBobGibbs,RepBobGibbs,UC4J-kVbeE32Up-b_wTLEUmA
Gohmert,Louie,1953-08-18,M,TX,1,Republican,https://gohmert.house.gov,RepLouieGohmert,50375006903,UC0HMa6X3iMhMq96kkRLLTog
Gosar,Paul,1958-11-22,M,AZ,4,Republican,https://gosar.house.gov,RepGosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw
Granger,Kay,1943-01-18,F,TX,12,Republican,https://kaygranger.house.gov,RepKayGranger,RepKayGranger,UCsRMtemAkyLh78MPES6gMVQ
Graves,Sam,1963-11-07,M,MO,6,Republican,https://graves.house.gov,RepSamGraves,118514606128,UCdg2ybvoHsSW6t7iJnKHlNg
Green,Al,1947-09-01,M,TX,9,Democrat,https://algreen.house.gov,RepAlGreen,repalgreen,UCFtgMZm1YUXaZ8OtOj-GDjA
Griffith,H.,1958-03-15,M,VA,9,Republican,https://morgangriffith.house.gov,RepMGriffith,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA
Grijalva,Raúl,1948-02-19,M,AZ,3,Democrat,https://grijalva.house.gov,RepraulGrijalva,Rep.Grijalva,UC8JZLnXS21bhNbcvpoM8O7g
Guthrie,Brett,1964-02-18,M,KY,2,Republican,https://guthrie.house.gov,RepGuthrie,CongressmanGuthrie,UCdJhDw-YbdH0RHfWK0sIfiw
Harris,Andy,1957-01-25,M,MD,1,Republican,https://harris.house.gov,RepAndyHarrisMD,AndyHarrisMD,UCvUuV7FiJfJi1yux4qozgMg
Hartzler,Vicky,1960-10-13,F,MO,4,Republican,https://hartzler.house.gov,RepHartzler,Congresswoman.Hartzler,UCAvttUz6qBVEJiFt7p_MZxw
Hastings,Alcee,1936-09-05,M,FL,20,Democrat,https://alceehastings.house.gov,RepHastingsFL,95696782238,UCaXXiR3YjMuPIlIGRGNnm8A
Herrera Beutler,Jaime,1978-11-03,F,WA,3,Republican,https://herrerabeutler.house.gov,HerreraBeutler,herrerabeutler,UCJEgiA9clfx0amrQUj0aBTQ
Higgins,Brian,1959-10-06,M,NY,26,Democrat,https://higgins.house.gov,RepBrianHiggins,RepBrianHiggins,UCSGbv85HaaYYOrPGePtxwag
Himes,James,1966-07-05,M,CT,4,Democrat,https://himes.house.gov,JAHimes,CongressmanJimHimes,UCCeB6czh6nhCHxOMCk_V4yA
Hoyer,Steny,1939-06-14,M,MD,5,Democrat,https://hoyer.house.gov,LeaderHoyer,WhipHoyer,UCvxgqX65cdhHNjJn64cgY9g
Huizenga,Bill,1969-01-31,M,MI,2,Republican,https://huizenga.house.gov,RepHuizenga,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg
Jackson Lee,Sheila,1950-01-12,F,TX,18,Democrat,https://jacksonlee.house.gov,JacksonLeeTX18,CongresswomanSheilaJacksonLee,UCi_S-mOZaEco2Zb9guf_8Iw
Johnson,Bill,1954-11-10,M,OH,6,Republican,https://billjohnson.house.gov,RepBillJohnson,RepBillJohnson,UCtF08Ay71haDRoJosRN2P_Q
Johnson,Eddie,1935-12-03,F,TX,30,Democrat,https://ebjohnson.house.gov,RepEBJ,CongresswomanEBJtx30,UCVKp8BtjW708H4eXJJQgUYw
Johnson,Henry,1954-10-02,M,GA,4,Democrat,https://hankjohnson.house.gov,RepHankJohnson,115356957005,UCqMici9I7nz_i-PN7eSYjwQ
Jordan,Jim,1964-02-17,M,OH,4,Republican,https://jordan.house.gov,Jim_Jordan,repjimjordan,UCPFBhS00ivPV585GlnNlyqA
Kaptur,Marcy,1946-06-17,F,OH,9,Democrat,https://kaptur.house.gov,RepMarcyKaptur,RepresentativeMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w
Keating,William,1952-09-06,M,MA,9,Democrat,https://keating.house.gov,USRepKeating,Congressman.Keating,UC7KPV4xdxO2dms9vl6tETmg
Kelly,Mike,1948-05-10,M,PA,16,Republican,https://kelly.house.gov,MikeKellyPA,191056827594903,UCoz6u3ooQxoijsWvhoQ0D-A
Kind,Ron,1963-03-16,M,WI,3,Democrat,https://kind.house.gov,RepRonKind,repronkind,UC0_BilariURHwSHf9baGykg
King,Peter,1944-04-05,M,NY,2,Republican,https://peteking.house.gov,RepPeteKing,,UCbyQC19DsAq01oDBfZn_diw
King,Steve,1949-05-28,M,IA,4,Republican,https://steveking.house.gov,SteveKingIA,stevekingia,UCvdJ--cxsVyght3ZDise0mw
Kinzinger,Adam,1978-02-27,M,IL,16,Republican,https://kinzinger.house.gov,RepKinzinger,RepKinzinger,UCjDHxyjndxxhjuPWyEBc7UA
Lamborn,Doug,1954-05-24,M,CO,5,Republican,https://lamborn.house.gov,RepDLamborn,CongressmanDougLamborn,UCaYsGYMniq4nwBBMKFIwsow
Langevin,James,1964-04-22,M,RI,2,Democrat,https://langevin.house.gov,JimLangevin,CongressmanJimLangevin,UCQ1sth-7umw1k-fSVqdfRTg
Larsen,Rick,1965-06-15,M,WA,2,Democrat,https://larsen.house.gov,RepRickLarsen,RepRickLarsen,UCMv7LsJtiyO4AJcbRux5CxQ
Larson,John,1948-07-22,M,CT,1,Democrat,https://larson.house.gov,RepJohnLarson,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ
Latta,Robert,1956-04-18,M,OH,5,Republican,https://latta.house.gov,BobLatta,boblatta,UCVSBVHoWu-eWnBBQaMKZ_sQ
Lee,Barbara,1946-07-16,F,CA,13,Democrat,https://lee.house.gov,RepBarbaraLee,RepBarbaraLee,UCnRgK2MXAQOUau0JXqseeNA
Lipinski,Daniel,1966-07-15,M,IL,3,Democrat,https://lipinski.house.gov,RepLipinski,repdanlipinski,UC4-dyxzIODTMk1-12QPEpoQ
Loebsack,David,1952-12-23,M,IA,2,Democrat,https://loebsack.house.gov,DaveLoebsack,DaveLoebsack,UC0biZWEJAKHctxbmXfXJnOg
Lofgren,Zoe,1947-12-21,F,CA,19,Democrat,https://lofgren.house.gov,RepZoeLofgren,zoelofgren,UCOaQ79adORFcaTuJZoIFuZQ
Long,Billy,1955-08-11,M,MO,7,Republican,https://long.house.gov,USRepLong,Rep.Billy.Long,UCLQcbyxpHXXAsUJckscQY8g
Lowey,Nita,1937-07-05,F,NY,17,Democrat,https://lowey.house.gov,NitaLowey,RepLowey,UCkmeBYqhbomcWNNWzQCqcbg
Lucas,Frank,1960-01-06,M,OK,3,Republican,https://lucas.house.gov,RepFrankLucas,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg
Luetkemeyer,Blaine,1952-05-07,M,MO,3,Republican,https://luetkemeyer.house.gov,RepBlaine,BlaineLuetkemeyer,UCifiiQclKbBBrkSbCnN6REg
Luján,Ben,1972-06-07,M,NM,3,Democrat,https://lujan.house.gov,RepBenRayLujan,RepBenRayLujan,UCcO5AmF8HuJo4d0awEbst7Q
Lynch,Stephen,1955-03-31,M,MA,8,Democrat,https://lynch.house.gov,RepStephenLynch,repstephenlynch,UCxL4zG0YWqC5XTO4af_FOgw
Maloney,Carolyn,1946-02-19,F,NY,12,Democrat,https://maloney.house.gov,RepMaloney,RepCarolynMaloney,
Marchant,Kenny,1951-02-23,M,TX,24,Republican,https://marchant.house.gov,RepKenMarchant,RepKennyMarchant,UCQpnTMp5TdTRWEes8cjIfyQ
Matsui,Doris,1944-09-25,F,CA,6,Democrat,https://matsui.house.gov,DorisMatsui,doris.matsui,UCSqqxVkvskHq3cY2MCbTZsw
McCarthy,Kevin,1965-01-26,M,CA,23,Republican,https://kevinmccarthy.house.gov,GOPLeader,CongressmanKevinMcCarthy,UCdJUZUFSLJRlUpE-91-6DsA
McCaul,Michael,1962-01-14,M,TX,10,Republican,https://mccaul.house.gov,RepMcCaul,michaeltmccaul,UCRw6sGE0PH7_FCeTT3PQRaA
McClintock,Tom,1956-07-10,M,CA,4,Republican,https://mcclintock.house.gov,RepMcClintock,81125319109,UCMh04KC4LfIzKoXh2Xws_pw
McCollum,Betty,1954-07-12,F,MN,4,Democrat,https://mccollum.house.gov,BettyMcCollum04,repbettymccollum,UC3sZJSdiZo2EBHbsOlsnI7A
McGovern,James,1959-11-20,M,MA,2,Democrat,https://mcgovern.house.gov,RepMcGovern,RepJimMcGovern,UCpiUqp2ZF64tXqgR_EQo27g
McHenry,Patrick,1975-10-22,M,NC,10,Republican,https://mchenry.house.gov,PatrickMcHenry,CongressmanMcHenry,UCY3PTRhkSH-eoltxPVZKD-w
McKinley,David,1947-03-28,M,WV,1,Republican,https://mckinley.house.gov,RepMcKinley,RepMcKinley,UCt7BWx4b8ubXa-PneAu103g
McMorris Rodgers,Cathy,1969-05-22,F,WA,5,Republican,https://mcmorris.house.gov,CathyMcMorris,mcmorrisrodgers,UCRp0lwIxAhq2Ia9_YgRWUkg
McNerney,Jerry,1951-06-18,M,CA,9,Democrat,https://mcnerney.house.gov,RepMcNerney,jerrymcnerney,UClUOx6F8GKshxGBUBLkisug
Meeks,Gregory,1953-09-25,M,NY,5,Democrat,https://meeks.house.gov,RepGregoryMeeks,gregorymeeksny05,UCljJnwgQS6Z6-NypDyqKJZQ
Moore,Gwen,1951-04-18,F,WI,4,Democrat,https://gwenmoore.house.gov,RepGwenMoore,GwenSMoore,UCCs9o1XaSsCsqNpO0iO0_Ew
Nadler,Jerrold,1947-06-13,M,NY,10,Democrat,https://nadler.house.gov,RepJerryNadler,CongressmanNadler,UCQKj0qU1e7o2f5ftSh-c9aQ
Napolitano,Grace,1936-12-04,F,CA,32,Democrat,https://napolitano.house.gov,GraceNapolitano,RepGraceNapolitano,UCPWjmiAIR04oQ8QMoOWcDtA
Neal,Richard,1949-02-14,M,MA,1,Democrat,https://neal.house.gov,RepRichardNeal,reprichardneal,UCZVtTydu0-MSK6G12GaKA4g
Norton,Eleanor,1937-06-13,F,DC,0,Democrat,https://norton.house.gov,EleanorNorton,CongresswomanNorton,UChRrAXUGylfxJjbquC6aUjQ
